广东频道,#genre#
CCTV-9,http://113.83.248.110:4200/rtp/239.77.0.135:5146$1920x1080
CCTV-11,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8$426x240
CCTV-12,http://113.83.248.110:4200/rtp/239.77.0.136:5146$1920x1080
CCTV-13,http://113.83.248.110:4200/rtp/239.77.0.42:5146$720x576
CCTV-14,http://113.83.248.110:4200/rtp/239.77.0.133:5146$1920x1080
CCTV-15,http://113.83.248.110:4200/rtp/239.77.0.44:5146$720x576
CCTV-16,http://113.83.248.110:4200/rtp/239.77.0.165:5146$1920x1080
CCTV-17,http://113.83.248.110:4200/rtp/239.77.0.115:5146$720x576
卫视频道,#genre#
浙江卫视,http://113.83.248.110:4200/rtp/239.77.0.89:5146$1920x1080
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$1920x1080
湖南卫视,http://113.83.248.110:4200/rtp/239.77.0.88:5146$1920x1080
北京卫视,http://113.83.248.110:4200/rtp/239.77.1.4:5146$1920x1080
湖北卫视,http://113.83.248.110:4200/rtp/239.77.0.128:5146$1920x1080
黑龙江卫视,http://113.83.248.110:4200/rtp/239.77.0.124:5146$1920x1080
黑龙江卫视,http://113.83.248.110:4200/rtp/239.77.1.179:5146$1920x1080
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$720x576
重庆卫视,http://113.83.248.110:4200/rtp/239.77.1.162:5146$1920x1080
东南卫视,http://113.83.248.110:4200/rtp/239.77.1.104:5146$1920x1080
甘肃卫视,http://113.83.248.110:4200/rtp/239.77.1.57:5146$720x576
贵州卫视,http://113.83.248.110:4200/rtp/239.77.0.230:5146$1920x1080
海南卫视,http://113.83.248.110:4200/rtp/239.253.43.35:5146$1920x1080
河北卫视,http://113.83.248.110:4200/rtp/239.77.1.214:5146$1920x1080
河南卫视,http://113.83.248.110:4200/rtp/239.77.0.17:5146$1920x1080
吉林卫视,https://pulltv1.wanfudaluye.com/live/tv1.m3u8$1280x720
吉林卫视,http://113.83.248.110:4200/rtp/239.77.0.150:5146
江苏卫视,http://113.83.248.110:4200/rtp/239.77.0.90:5146$1920x1080
江西卫视,http://113.83.248.110:4200/rtp/239.77.1.219:5146$1920x1080
内蒙古卫视,http://113.83.248.110:4200/rtp/239.77.1.55:5146$720x576
宁夏卫视,http://113.83.248.110:4200/rtp/239.77.1.47:5146$720x576
宁夏卫视,http://113.83.248.110:4200/rtp/239.77.0.73:5146$720x576
青海卫视,http://113.83.248.110:4200/rtp/239.77.1.70:5146$720x576
山西卫视,http://113.83.248.110:4200/rtp/239.77.0.69:5146$720x576
陕西卫视,http://113.83.248.110:4200/rtp/239.77.1.54:5146$720x576
陕西卫视,http://113.83.248.110:4200/rtp/239.77.0.68:5146$720x576
四川卫视,http://113.83.248.110:4200/rtp/239.77.1.215:5146$1920x1080
深圳卫视,http://113.83.248.110:4200/rtp/239.77.0.92:5146$1920x1080
三沙卫视,http://113.83.248.110:4200/rtp/239.253.43.113:5146$1920x1080
三沙卫视,http://113.83.248.110:4200/rtp/239.77.1.117:5146$720x576
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws$1920x1080
西藏卫视,http://113.83.248.110:4200/rtp/239.77.1.49:5146$720x576
西藏卫视,http://113.83.248.110:4200/rtp/239.77.0.74:5146$720x576
新疆卫视,http://113.83.248.110:4200/rtp/239.77.1.53:5146$720x576
港·澳·台,#genre#
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn$1920x1080
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$1920x1080
凤凰中文,http://pi.0472.org/tv/cbn.php?id=xfjcHD$1280x720
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$1920x1080
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?$1920x1080
